<TICKER,PERIOD> <SMA_17> <SMA_34> <SMA_72> <SMA_144> <LAST_CLOSE>
B3SA3,W1 | 17= 13.108235294117636 | 34= 13.330882352941176 | 72= 12.72291666666667 | 144= 12.70256944444444 | Price= 13.17
ABEV3,W1 | 17= 13.108235294117641 | 34= 13.417352941176453 | 72= 13.597916666666661 | 144= 13.855694444444444 | Price= 13.07
B3SA3,W1 | 17= 13.108235294117636 | 34= 13.330882352941176 | 72= 12.72291666666667 | 144= 12.70256944444444 | Price= 13.17
BBAS3,W1 | 17= 52.72941176470593 | 34= 49.63882352941174 | 72= 42.64666666666666 | 144= 35.21687499999999 | Price= 57.72
BBDC4,W1 | 17= 15.401176470588242 | 34= 15.148823529411768 | 72= 14.720555555555544 | 144= 16.142708333333335 | Price= 15.32
BBDC3,W1 | 17= 13.655294117647072 | 34= 13.41970588235294 | 72= 12.895277777777773 | 144= 13.818819444444445 | Price= 13.64
BBSE3,W1 | 17= 32.38882352941175 | 34= 31.343823529411786 | 72= 30.64333333333333 | 144= 25.39180555555559 | Price= 34.09
BEEF3,W1 | 17= 7.262941176470593 | 34= 8.437058823529409 | 72= 10.053194444444456 | 144= 10.056041666666665 | Price= 6.76
BOVA11,W1 | 17= 121.57705882352933 | 34= 117.7667647058823 | 72= 111.27708333333324 | 144= 109.84118055555554 | Price= 123.32
BRAP4,W1 | 17= 23.29705882352942 | 34= 22.323529411764714 | 72= 23.073888888888895 | 144= 21.886875 | Price= 21.98
BRFS3,W1 | 17= 13.04058823529415 | 34= 11.279705882352934 | 72= 9.897083333333333 | 144= 15.128958333333335 | Price= 14.33
CCRO3,W1 | 17= 13.207647058823525 | 34= 13.08411764705882 | 72= 12.482083333333325 | 144= 12.329444444444448 | Price= 13.15
CIEL3,W1 | 17= 4.207058823529414 | 34= 4.074411764705882 | 72= 4.463472222222214 | 144= 3.6994444444444405 | Price= 4.9399999999999995
CMIG4,W1 | 17= 11.404705882352944 | 34= 11.590588235294119 | 72= 10.873194444444453 | 144= 9.730763888888891 | Price= 11.36
COGN3,W1 | 17= 3.0211764705882374 | 34= 3.043823529411759 | 72= 2.6854166666666566 | 144= 2.7888194444444463 | Price= 2.68
CSAN3,W1 | 17= 17.88294117647062 | 34= 18.079117647058833 | 72= 16.890277777777786 | 144= 18.777152777777786 | Price= 17.95
CYRE3,W1 | 17= 21.410588235294092 | 34= 21.46617647058823 | 72= 18.00458333333335 | 144= 16.857569444444415 | Price= 22.52
EMBR3,W1 | 17= 20.8335294117647 | 34= 19.482352941176455 | 72= 17.736527777777788 | 144= 17.71097222222222 | Price= 22.44
EQTL3,W1 | 17= 33.9776470588235 | 34= 33.15970588235295 | 72= 29.953750000000003 | 144= 26.787708333333335 | Price= 35.33
GGBR4,W1 | 17= 22.387058823529408 | 34= 23.676764705882327 | 72= 24.221527777777773 | 144= 22.846736111111106 | Price= 21.47
GOAU4,W1 | 17= 10.229411764705894 | 34= 10.604705882352942 | 72= 10.656388888888895 | 144= 9.816388888888898 | Price= 10.0
HAPV3,W1 | 17= 4.21235294117648 | 34= 4.337941176470592 | 72= 4.505000000000008 | 144= 7.9105555555555505 | Price= 3.83
ITSA4,W1 | 17= 9.5035294117647 | 34= 9.129705882352946 | 72= 8.409027777777778 | 144= 8.01486111111111 | Price= 9.98
ITUB4,W1 | 17= 31.034705882352938 | 34= 29.222058823529384 | 72= 27.09736111111108 | 144= 24.90576388888888 | Price= 32.74
JBSS3,W1 | 17= 22.70176470588235 | 34= 20.532941176470555 | 72= 19.94125000000001 | 144= 24.76590277777776 | Price= 23.0
KLBN11,W1 | 17= 21.975294117647053 | 34= 22.072058823529403 | 72= 20.354583333333316 | 144= 20.531041666666667 | Price= 21.01
LREN3,W1 | 17= 15.184117647058814 | 34= 16.171764705882342 | 72= 18.432083333333345 | 144= 23.391527777777743 | Price= 15.74
LWSA3,W1 | 17= 5.940588235294108 | 34= 6.672058823529406 | 72= 6.8695833333333365 | 144= 10.824583333333344 | Price= 5.34
MGLU3,W1 | 17= 1.95647058823528 | 34= 2.4052941176470526 | 72= 3.0683333333333316 | 144= 6.608333333333317 | Price= 1.97
MRFG3,W1 | 17= 8.622941176470581 | 34= 7.952647058823513 | 72= 7.788055555555559 | 144= 11.514166666666657 | Price= 9.1
MULT3,W1 | 17= 27.01823529411765 | 34= 26.337941176470597 | 72= 24.786527777777785 | 144= 22.909722222222218 | Price= 27.26
PETR4,W1 | 17= 36.42117647058826 | 34= 33.05294117647059 | 72= 26.45986111111111 | 144= 20.30680555555555 | Price= 41.03
PETZ3,W1 | 17= 3.8423529411764696 | 34= 4.919117647058815 | 72= 6.094861111111124 | 144= 12.086944444444441 | Price= 3.14
PCAR3,W1 | 17= 3.8905882352941115 | 34= 5.2714705882352995 | 72= 6.295416666666668 | 144= 8.28458333333334 | Price= 4.12
RADL3,W1 | 17= 27.413529411764703 | 34= 27.62882352941175 | 72= 25.4363888888889 | 144= 23.648819444444452 | Price= 24.86
RAIL3,W1 | 17= 22.694705882352956 | 34= 22.680588235294103 | 72= 20.861944444444433 | 144= 19.397777777777762 | Price= 22.84
TAEE11,W1 | 17= 35.69058823529415 | 34= 34.98941176470589 | 72= 34.37902777777778 | 144= 33.20708333333332 | Price= 36.53
UGPA3,W1 | 17= 24.834705882352946 | 34= 21.698529411764714 | 72= 17.41402777777777 | 144= 15.763888888888875 | Price= 27.64
USIM5,W1 | 17= 8.0 | 34= 7.497941176470596 | 72= 7.331944444444446 | 144= 10.074722222222224 | Price= 9.09
